"GEO_ID","NAME","B25077_001E","B25077_001M"
"id","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)"
"0500000US13121","Fulton County, Georgia","313300","4759"
"0500000US13123","Gilmer County, Georgia","177500","14618"
"0500000US13125","Glascock County, Georgia","81700","12982"
"0500000US13127","Glynn County, Georgia","179000","8446"
"0500000US13129","Gordon County, Georgia","136000","8028"
"0500000US13131","Grady County, Georgia","119800","6429"
"0500000US13133","Greene County, Georgia","210300","30839"
"0500000US13135","Gwinnett County, Georgia","217900","1784"
"0500000US13137","Habersham County, Georgia","150500","4547"
"0500000US13139","Hall County, Georgia","201300","5669"
"0500000US13141","Hancock County, Georgia","85000","11998"
"0500000US13143","Haralson County, Georgia","124200","14067"
"0500000US13145","Harris County, Georgia","217000","8309"
"0500000US13147","Hart County, Georgia","137700","15918"
"0500000US13149","Heard County, Georgia","109000","10529"
"0500000US13151","Henry County, Georgia","175300","3029"
"0500000US13153","Houston County, Georgia","142600","3411"
"0500000US13155","Irwin County, Georgia","79800","8374"
"0500000US13157","Jackson County, Georgia","189700","6818"
"0500000US13159","Jasper County, Georgia","139400","11063"
"0500000US13161","Jeff Davis County, Georgia","79800","4901"
"0500000US13163","Jefferson County, Georgia","72500","6645"
"0500000US13165","Jenkins County, Georgia","74500","15656"
"0500000US13167","Johnson County, Georgia","64100","6602"
"0500000US13169","Jones County, Georgia","124100","10519"
"0500000US13171","Lamar County, Georgia","145600","10880"
"0500000US13173","Lanier County, Georgia","114900","14583"
"0500000US13175","Laurens County, Georgia","94600","4912"
"0500000US13177","Lee County, Georgia","152800","7070"
"0500000US13179","Liberty County, Georgia","124500","4629"
"0500000US13181","Lincoln County, Georgia","127700","20386"
"0500000US13183","Long County, Georgia","122100","16019"
"0500000US13185","Lowndes County, Georgia","140600","4568"
"0500000US13187","Lumpkin County, Georgia","185800","10204"
"0500000US13189","McDuffie County, Georgia","109500","10244"
"0500000US13191","McIntosh County, Georgia","128000","17942"
"0500000US13193","Macon County, Georgia","63800","5103"
"0500000US13195","Madison County, Georgia","131300","9429"
"0500000US13197","Marion County, Georgia","90000","19984"
"0500000US13199","Meriwether County, Georgia","103300","8361"
"0500000US13201","Miller County, Georgia","89400","6584"
"0500000US13205","Mitchell County, Georgia","85400","5210"
"0500000US13207","Monroe County, Georgia","166900","7601"
"0500000US13209","Montgomery County, Georgia","84000","11950"
"0500000US13211","Morgan County, Georgia","229000","11348"
"0500000US13213","Murray County, Georgia","108300","9176"
"0500000US13215","Muscogee County, Georgia","141300","3330"
"0500000US13217","Newton County, Georgia","151800","3993"
"0500000US13219","Oconee County, Georgia","286600","10429"
"0500000US13221","Oglethorpe County, Georgia","118500","11204"
"0500000US13223","Paulding County, Georgia","173600","2994"
"0500000US13225","Peach County, Georgia","135100","18792"
"0500000US13227","Pickens County, Georgia","200200","14380"
"0500000US13229","Pierce County, Georgia","104400","10230"
"0500000US13231","Pike County, Georgia","173000","7348"
"0500000US13233","Polk County, Georgia","110700","7270"
"0500000US13235","Pulaski County, Georgia","120100","14135"
"0500000US13237","Putnam County, Georgia","160400","12310"
"0500000US13239","Quitman County, Georgia","59900","12319"
"0500000US13241","Rabun County, Georgia","174500","11337"
"0500000US13243","Randolph County, Georgia","71900","13131"
"0500000US13245","Richmond County, Georgia","108000","3005"
"0500000US13247","Rockdale County, Georgia","163900","5077"
"0500000US13249","Schley County, Georgia","125300","17420"
"0500000US13251","Screven County, Georgia","81200","8403"
"0500000US13253","Seminole County, Georgia","81100","10044"
"0500000US13255","Spalding County, Georgia","122800","5872"
"0500000US13257","Stephens County, Georgia","105300","12222"
