metro_code,metro_name,metro_pop,metro_apps,metro_type,variable_name,total_count,loan,denied,is_reliable,reliable_note,odds_ratio
33980,"Morehead City, NC",69070.0,600,Micropolitan Statistical Area,Native American,1.0,1.0,0.0,False,No results,
33980,"Morehead City, NC",69070.0,600,Micropolitan Statistical Area,AAPI,5.0,4.0,1.0,False,No results,
20500,"Durham-Chapel Hill, NC",626695.0,7457,Metropolitan Statistical Area,Black,617.0,553.0,64.0,True,Statistically significant disparity,2.0
20500,"Durham-Chapel Hill, NC",626695.0,7457,Metropolitan Statistical Area,Latino,489.0,450.0,39.0,True,Statistically significant disparity,1.8
20500,"Durham-Chapel Hill, NC",626695.0,7457,Metropolitan Statistical Area,Native American,19.0,17.0,2.0,False,Not statistically significant,1.9
20500,"Durham-Chapel Hill, NC",626695.0,7457,Metropolitan Statistical Area,AAPI,493.0,460.0,33.0,True,Statistically significant disparity,2.2
49180,"Winston-Salem, NC",666216.0,5716,Metropolitan Statistical Area,Black,346.0,317.0,29.0,False,Not enough variance in variables,1.1
49180,"Winston-Salem, NC",666216.0,5716,Metropolitan Statistical Area,Latino,415.0,368.0,47.0,False,Not enough variance in variables,1.8
49180,"Winston-Salem, NC",666216.0,5716,Metropolitan Statistical Area,Native American,18.0,18.0,0.0,False,Not enough variance in variables,0.0
49180,"Winston-Salem, NC",666216.0,5716,Metropolitan Statistical Area,AAPI,144.0,136.0,8.0,False,Not enough variance in variables,0.8
19660,"Deltona-Daytona Beach-Ormond Beach, FL",646288.0,5992,Metropolitan Statistical Area,Black,179.0,156.0,23.0,False,Not statistically significant,1.5
19660,"Deltona-Daytona Beach-Ormond Beach, FL",646288.0,5992,Metropolitan Statistical Area,Latino,575.0,517.0,58.0,False,Not statistically significant,1.1
